#Digilent WaveForms Logic Analyzer Bus Events
#Device Name: Discovery2
#Serial Number: SN:210321A7F8BC
#Date Time: 2019-08-15 15:51:39.054

Time (s),Event
0.00115654,b1111
0.00117232,b0010
0.00117404,b1111
0.00118982,b0010
0.00119154,b1111
0.0012073,b0010
0.00120902,b1111
0.0012298,b0111
0.00123152,b1111
0.07501562,b0111
0.07501734,b1111
0.0750206,b0010
0.07502232,b1111
0.0801873,b0000
0.08018902,b1111
0.0801923,b0001
0.08019402,b1111
0.08019728,b0010
0.080199,b1111
0.08020728,b0111
0.080209,b1111
0.08022728,b0111
0.080229,b1110
0.08023228,b0010
0.080234,b1111
0.08024978,b0010
0.0802515,b1111
0.08026728,b0010
0.080269,b1111
0.08028478,b0010
0.0802865,b1111
0.08030228,b0010
0.080304,b1111
0.08031976,b0010
0.0803215,b1111
0.08033726,b0010
0.08033898,b1111
0.08035476,b0010
0.08035648,b1111
0.08037226,b0010
0.08037398,b1111
0.08038976,b0010
0.08039148,b1111
0.08040726,b0010
0.08040898,b1111
0.08042476,b0010
0.08042648,b1111
0.08044226,b0010
0.08044398,b1111
0.08045974,b0010
0.08046146,b1111
0.08047724,b0010
0.08047896,b1111
0.08049474,b0010
0.08049646,b1111
0.08051224,b0010
0.08051396,b1111
0.08052974,b0010
0.08053146,b1111
0.08054724,b0010
0.08054896,b1111
0.08056474,b0010
0.08056646,b1111
0.08058222,b0010
0.08058394,b1111
0.08059972,b0010
0.08060144,b1111
0.08061722,b0010
0.08061894,b1111
0.08063472,b0010
0.08063644,b1111
0.08065222,b0010
0.08065394,b1111
0.08066972,b0010
0.08067144,b1111
0.08068722,b0010
0.08068894,b1111
0.0807047,b0010
0.08070642,b1111
0.0807222,b0010
0.08072392,b1111
0.0807397,b0010
0.08074142,b1111
0.0807572,b0010
0.08075892,b1111
0.0807747,b0010
0.08077642,b1111
0.0807922,b0010
0.08079392,b1111
0.0808097,b0010
0.08081142,b1111
0.08082718,b0010
0.0808289,b1111
0.08084468,b0010
0.0808464,b1111
0.08086218,b0010
0.0808639,b1111
0.08087968,b0010
0.0808814,b1111
0.08089718,b0010
0.0808989,b1111
0.08091468,b0010
0.0809164,b1111
0.08093218,b0010
0.0809339,b1111
0.08094966,b0010
0.0809514,b1111
0.08096716,b0010
0.08096888,b1111
0.08098466,b0010
0.08098638,b1111
0.08100216,b0010
0.08100388,b1111
0.08101966,b0010
0.08102138,b1111
0.08103716,b0010
0.08103888,b1111
0.08105466,b0010
0.08105638,b1111
0.08107216,b0010
0.08107388,b1111
0.08108964,b0010
0.08109136,b1111
0.08110714,b0010
0.08110886,b1111
0.08112464,b0010
0.08112636,b1111
0.08114214,b0010
0.08114386,b1111
0.08115964,b0010
0.08116136,b1111
0.08117714,b0010
0.08117886,b1111
0.08119464,b0010
0.08119636,b1111
0.08121212,b0010
0.08121384,b1111
0.08122962,b0010
0.08123134,b1111
0.08124712,b0010
0.08124884,b1111
0.08126462,b0010
0.08126634,b1111
0.08128212,b0010
0.08128384,b1111
0.08129962,b0010
0.08130134,b1111
0.08131712,b0010
0.08131884,b1111
0.0813346,b0010
0.08133632,b1111
0.0813521,b0010
0.08135382,b1111
0.0813696,b0010
0.08137132,b1111
0.0813871,b0010
0.08138882,b1111
0.0814046,b0010
0.08140632,b1111
0.0814221,b0010
0.08142382,b1111
0.0814396,b0010
0.08144132,b1111
0.08145708,b0010
0.0814588,b1111
0.08147458,b0010
0.0814763,b1111
0.08149208,b0010
0.0814938,b1111
0.08150958,b0010
0.0815113,b1111
0.08152708,b0010
0.0815288,b1111
0.08154458,b0010
0.0815463,b1111
0.08156208,b0010
0.0815638,b1111
0.08157956,b0010
0.0815813,b1111
0.08159706,b0010
0.08159878,b1111
0.08161456,b0010
0.08161628,b1111
0.08163206,b0010
0.08163378,b1111
0.08164956,b0010
0.08165128,b1111
0.08166706,b0010
0.08166878,b1111
0.08168456,b0010
0.08168628,b1111
0.08170206,b0010
0.08170378,b1111
0.08171954,b0010
0.08172126,b1111
0.08173704,b0010
0.08173876,b1111
0.08175454,b0010
0.08175626,b1111
0.08177204,b0010
0.08177376,b1111
0.08178954,b0010
0.08179126,b1111
0.08180704,b0010
0.08180876,b1111
0.08182454,b0010
0.08182626,b1111
0.08184202,b0010
0.08184374,b1111
0.08185952,b0010
0.08186124,b1111
0.08187702,b0010
0.08187874,b1111
0.08189452,b0010
0.08189624,b1111
0.08191202,b0010
0.08191374,b1111
0.08192952,b0010
0.08193124,b1111
0.08194702,b0010
0.08194874,b1111
0.0819645,b0010
0.08196622,b1111
0.081982,b0010
